24-06-08--18-43-26

nb_nodes=100
bsz=512
dim_emb=128
dim_ff=512
dim_input_nodes=2
nb_layers_encoder=6
nb_layers_decoder=2
nb_heads=8
nb_epochs=10000
nb_batch_per_epoch=25
nb_batch_eval=20
gpu_id=0,1
lr=0.0001
tol=0.001
batchnorm=True
max_len_PE=1000


Epoch: 152, epoch time: 0.406min, tot time: 0.062day, L_train: 9.053, L_base: 9.006, gap_train(%): 16.589, update: False
Epoch: 153, epoch time: 0.406min, tot time: 0.062day, L_train: 9.032, L_base: 9.000, gap_train(%): 16.319, update: False
Epoch: 154, epoch time: 0.404min, tot time: 0.063day, L_train: 9.037, L_base: 9.003, gap_train(%): 16.385, update: False
Epoch: 155, epoch time: 0.405min, tot time: 0.063day, L_train: 8.987, L_base: 9.005, gap_train(%): 15.743, update: True
Epoch: 156, epoch time: 0.405min, tot time: 0.063day, L_train: 8.972, L_base: 8.991, gap_train(%): 15.541, update: True
Epoch: 157, epoch time: 0.405min, tot time: 0.064day, L_train: 8.997, L_base: 8.976, gap_train(%): 15.864, update: False
Epoch: 158, epoch time: 0.404min, tot time: 0.064day, L_train: 9.020, L_base: 8.972, gap_train(%): 16.162, update: False
Epoch: 159, epoch time: 0.404min, tot time: 0.064day, L_train: 9.008, L_base: 8.965, gap_train(%): 16.013, update: False
Epoch: 160, epoch time: 0.406min, tot time: 0.065day, L_train: 9.031, L_base: 8.972, gap_train(%): 16.309, update: False
Epoch: 161, epoch time: 0.405min, tot time: 0.065day, L_train: 9.023, L_base: 8.974, gap_train(%): 16.199, update: False
Epoch: 162, epoch time: 0.406min, tot time: 0.066day, L_train: 8.992, L_base: 8.972, gap_train(%): 15.802, update: False
Epoch: 163, epoch time: 0.405min, tot time: 0.066day, L_train: 8.961, L_base: 8.968, gap_train(%): 15.407, update: True
Epoch: 164, epoch time: 0.404min, tot time: 0.066day, L_train: 8.980, L_base: 8.970, gap_train(%): 15.647, update: False
Epoch: 165, epoch time: 0.406min, tot time: 0.067day, L_train: 9.002, L_base: 8.966, gap_train(%): 15.934, update: False
Epoch: 166, epoch time: 0.406min, tot time: 0.067day, L_train: 9.015, L_base: 8.970, gap_train(%): 16.102, update: False
Epoch: 167, epoch time: 0.404min, tot time: 0.068day, L_train: 8.983, L_base: 8.972, gap_train(%): 15.685, update: False
Epoch: 168, epoch time: 0.404min, tot time: 0.068day, L_train: 8.955, L_base: 8.970, gap_train(%): 15.328, update: True
Epoch: 169, epoch time: 0.404min, tot time: 0.068day, L_train: 8.945, L_base: 8.952, gap_train(%): 15.202, update: True
Epoch: 170, epoch time: 0.405min, tot time: 0.069day, L_train: 8.968, L_base: 8.945, gap_train(%): 15.493, update: False
Epoch: 171, epoch time: 0.405min, tot time: 0.069day, L_train: 8.958, L_base: 8.947, gap_train(%): 15.368, update: False
Epoch: 172, epoch time: 0.404min, tot time: 0.070day, L_train: 8.946, L_base: 8.950, gap_train(%): 15.213, update: True
Epoch: 173, epoch time: 0.404min, tot time: 0.070day, L_train: 8.986, L_base: 8.942, gap_train(%): 15.721, update: False
